97579, 3718
109368, 8072
83002, 18294
112871, 11575
90303, 10994
90544, 10752
112333, 11037
99563, 1734
120631, 19334
110650, 9353
82399, 18898
93398, 7899
101375, 78
123414, 22117
101879, 582
113547, 12250
112004, 10707
109400, 8104
86222, 15074
85877, 15419
79414, 21883
89544, 11752
106022, 4726
119339, 18042
100844, 452
86664, 14632
92233, 9064
92600, 8697
98763, 2534
114665, 13369
89748, 11548
95996, 5301
108566, 7269
93584, 7712
98601, 2696
91981, 9316
91236, 10060
102062, 766
109252, 7956
100039, 1258
85798, 15499
91065, 10232
108815, 7518
88569, 12727
104470, 3173
99792, 1504
95602, 5694
108866, 7570
114121, 12825
114811, 13514
101719, 422
96774, 4522
88800, 12497
112987, 11690
110993, 9697
111736, 10439
105970, 4673
96345, 4951
91039, 10257
100761, 535
107544, 6247
76911, 24386
96353, 4944
87791, 13506
87324, 13972
100781, 515
102401, 1104
100261, 1036
104640, 3344
110822, 9525
93588, 7709
111730, 10433
105167, 3870
108445, 7148
104245, 2948
109310, 8014
111443, 10146
80435, 20862
107037, 5740
93810, 7486
94760, 6536
111501, 10204
98681, 2615
112575, 11278
96708, 4589
107257, 5961
93165, 8131
86743, 14553
97480, 3817
95481, 5816
104721, 3425
95250, 6047
103637, 2341
99648, 1649
112057, 10760
95299, 5998
112078, 10782
92447, 8849
106470, 5173
96678, 4619
109377, 8080
97428, 3868
107640, 6344
99599, 1698
114407, 13110
77334, 23962
98022, 3275
105328, 4032
101600, 303
111896, 10599
115926, 14629
98262, 3035
82550, 18746
111560, 10263
101682, 386
103208, 1911
105195, 3898
97706, 3591
89417, 11879
105191, 3895
91405, 9892
105932, 4636
95828, 5468
107940, 6643
122124, 20827
105176, 3879
110055, 8759
94953, 6344
101098, 199
102329, 1033
96467, 4829
109302, 8005
110163, 8866
97409, 3888
84031, 17265
110413, 9117
86777, 14519
104728, 3431
106197, 4900
83847, 17450
110609, 9312
105296, 4000
108733, 7437
110283, 8987
108228, 6932
99503, 1794
106643, 5346
103111, 1814
106903, 5606
93401, 7896
91984, 9313
99318, 1979
108108, 6812
70293, 31004
87328, 13968
81620, 19676
69609, 31688
100843, 453
104442, 3145
75807, 25490
83187, 18110
108242, 6945
98412, 2885
107320, 6024
103118, 1821
109483, 8187
88061, 13235
96711, 4585
99281, 2016
79989, 21308
109758, 8461
113059, 11763
107916, 6619
97224, 4072
90250, 11047
100848, 449
104393, 3097
82922, 18374
85777, 15519
95654, 5642
105657, 4360
93766, 7530
107250, 5953
106110, 4813
88750, 12546
81163, 20134
87782, 13514
98580, 2716
109129, 7832
96218, 5078
101470, 173
89888, 11409
101193, 103
99579, 1717
85498, 15799
118466, 17170
102709, 1413
103525, 2228
94020, 7277
100330, 967
94861, 6436
98344, 2953
103789, 2492
100131, 1166
97476, 3820
118168, 16871
116779, 15483
89523, 11774
112570, 11273
84076, 17220
103783, 2486
101306, 9
106473, 5177
93907, 7390
107979, 6683
98345, 2951
106826, 5529
105047, 3751
93894, 7403
84021, 17275
80441, 20855
116987, 15691
107421, 6125
85510, 15786
88309, 12987
103678, 2381
96446, 4851
102928, 1631
83886, 17411
94246, 7051
92423, 8873
121094, 19797
100459, 837
109732, 8435
117262, 15965
109354, 8057
110653, 9357
122327, 21030
111160, 9864
105872, 4576
81282, 20014
91291, 10005
96651, 4646
95274, 6023
105656, 4359
98823, 2474
115153, 13856
101982, 685
95300, 5997
98713, 2583
113106, 11809
110848, 9552
106041, 4744
107782, 6486
93722, 7574
110097, 8801
103756, 2459
90527, 10769
99717, 1579
87379, 13917
109960, 8663
106077, 4781
100147, 1150
98194, 3103
100406, 890
87499, 13798
99523, 1773
109565, 8269
103802, 2505
104810, 3514
91735, 9561
94861, 6436
101842, 546
106562, 5266
105968, 4672
88563, 12734
102447, 1150
100702, 594
104720, 3423
109513, 8216
99608, 1689
105578, 4282
99168, 2129
73011, 28285
95189, 6107
105930, 4634
89943, 11353
87320, 13977
79659, 21637
96014, 5282
93966, 7330
124681, 23384
106419, 5123
102408, 1112
112108, 10811
108937, 7640
83596, 17701
97939, 3358
92683, 8614
92122, 9175
106584, 5288
117046, 15750
114074, 12778
93188, 8108
105147, 3851
71200, 30096
91317, 9979
83983, 17314
113289, 11992
114937, 13640
103750, 2453
105813, 4516
93249, 8048
76942, 24355
94509, 6788
108737, 7441
101549, 252
95873, 5424
95296, 6001
100352, 944
116648, 15352
100001, 1296
103291, 1995
90204, 11093
95465, 5832
88305, 12992
110407, 9110
112434, 11137
116035, 14739
77562, 23734
93676, 7621
114350, 13054
100836, 460
105898, 4602
95786, 5511
109584, 8287
94886, 6410
99220, 2077
98244, 3052
86182, 15115
110777, 9480
96030, 5266
110116, 8819
89924, 11372
111541, 10244
104052, 2755
112500, 11203
103351, 2054
99955, 1341
115590, 14293
67943, 33354
96022, 5274
77975, 23321
95414, 5883
94302, 6995
96261, 5036
115687, 14391
106029, 4732
119875, 18578
100012, 1284
90510, 10787
86604, 14692
100548, 749
97478, 3819
110016, 8720
100984, 312
93121, 8176
80433, 20863
96646, 4651
86174, 15122
77675, 23621
95758, 5538
101189, 108
100285, 1012
95979, 5317
89203, 12093
80800, 20496
89915, 11382
117634, 16338
106041, 4745
99639, 1657
91729, 9568
93969, 7328
106906, 5609
111754, 10457
96794, 4503
102942, 1646
108641, 7344
98328, 2969
108124, 6827
97920, 3376
88382, 12914
101102, 195
74228, 27068
108862, 7565
106726, 5429
95257, 6040
87614, 13683
103846, 2549
85539, 15758
109342, 8045
107189, 5893
92796, 8500
94016, 7280
98400, 2897
114508, 13212
78373, 22924
95183, 6113
86374, 14923
121015, 19718
102137, 841
96788, 4508
110684, 9388
94151, 7146
88572, 12724
82460, 18837
